f0003:

W_Fdic:
the                 : 1381    and                 : 886     of                  : 530     space               : 482     
to                  : 482     in                  : 391     semantic            : 327     -rrb-               : 250     
-lrb-               : 250     can                 : 242     is                  : 187     be                  : 183     
socio               : 158     spaces              : 158     as                  : 151     link                : 149     
are                 : 147     -lsb-               : 140     -rsb-               : 139     for                 : 129     
different           : 129     links               : 127     through             : 112     mental              : 107     
with                : 106     cyber               : 105     will                : 105     physical            : 104     
between             : 99      on                  : 97      or                  : 95      individuals         : 90      
from                : 88      that                : 87      images              : 84      an                  : 83      
complex             : 78      by                  : 76      interaction         : 76      reasoning           : 74      
it                  : 72      various             : 72      rules               : 62      sln                 : 61      
multiple            : 55      linking             : 55      some                : 55      other               : 54      
cp3sme              : 53      have                : 53      semantics           : 53      interactions        : 52      
environment         : 52      influence           : 50      one                 : 49      network             : 48      
according           : 47      physiological       : 45      psychological       : 45      how                 : 45      
human               : 45      not                 : 45      information         : 44      e.g.                : 43      
humans              : 43      example             : 42      behaviors           : 42      emerge              : 41      
nodes               : 41      time                : 40      image               : 39      at                  : 39      
communities         : 39      also                : 39      may                 : 38      its                 : 38      
such                : 37      more                : 37      energy              : 37      intelligence        : 37      
this                : 37      knowledge           : 37      reflect             : 36      relations           : 36      
form                : 35      following           : 34      new                 : 33      language            : 33      
which               : 32      evolution           : 32      web                 : 32      flow                : 30      
only                : 30      classification      : 29      linked              : 29      node                : 28      
artifact            : 28      when                : 28      like                : 28      process             : 28      
emerging            : 28      machine             : 27      research            : 27      into                : 27      
processes           : 27      relation            : 26      based               : 26      but                 : 26      
real-time           : 25      evolve              : 25      has                 : 25      than                : 25      
services            : 25      their               : 25      types               : 24      model               : 24      
what                : 24      forms               : 23      status              : 23      while               : 23      
world               : 23      concerns            : 23      closed              : 23      relevant            : 23      
fig.                : 22      each                : 22      been                : 22      was                 : 22      
symbol              : 22      important           : 22      material            : 22      artifacts           : 22      
social              : 21      individual          : 21      enables             : 21      used                : 21      
languages           : 21      society             : 21      effect              : 21      support             : 20      
change              : 20      flows               : 20      evolving            : 19      operations          : 19      
another             : 19      regarded            : 19      's                  : 19      point               : 19      
development         : 19      use                 : 19      networks            : 19      who                 : 19      
they                : 18      previous            : 18      people              : 18      class               : 18      
computing           : 18      characteristics     : 18      same                : 18      events              : 18      
objects             : 18      machines            : 17      basic               : 17      so                  : 17      
situation           : 17      loops               : 17      interactive         : 17      community           : 17      
symbols             : 17      minds               : 17      layer               : 17      answer              : 16      
explain             : 16      natural             : 16      any                 : 16      where               : 16      
experience          : 16      resources           : 16      system              : 16      ability             : 16      
principles          : 15      method              : 15      cyber-physical-socio: 15      sense               : 15      
rather              : 15      help                : 15      set                 : 15      questions           : 15      
within              : 15      structure           : 15      multi-dimensional   : 15      type                : 14      
classes             : 14      mind                : 14      indicate            : 14      dimension           : 14      
self-organized      : 14      levels              : 14      implicit            : 14      text                : 14      
life                : 13      commonsense         : 13      understanding       : 13      mechanisms          : 13      
continuous          : 13      laws                : 13      these               : 13      hypertext           : 13      
operation           : 13      since               : 13      89                  : 13      brain               : 13      
well                : 13      about               : 13      he                  : 13      effects             : 12      
sensors             : 12      service             : 12      make                : 12      things              : 12      
materials           : 12      proposed            : 12      current             : 12      data                : 12      
ideal               : 12      using               : 12      two                 : 12      systems             : 12      
during              : 12      create              : 12      users               : 12      issues              : 12      
depicted            : 12      out                 : 12      explanation         : 12      attributes          : 12      
agents              : 12      reflection          : 12      know                : 12      concepts            : 11      
abstracted          : 11      points              : 11      reference           : 11      10                  : 11      
among               : 11      certain             : 11      lifetime            : 11      all                 : 11      
mapping             : 11      number              : 11      hyperlink           : 11      reflects            : 11      
function            : 11      methodology         : 10      abstraction         : 10      then                : 10      
applications        : 10      times               : 10      motion              : 10      concern             : 10      
design              : 10      generation          : 10      appropriate         : 10      apple               : 10      
related             : 10      reflecting          : 10      mechanism           : 10      sensing             : 10      
does                : 10      co-experiencing     : 10      even                : 9       provide             : 9       
effective           : 9       formation           : 9       created             : 9       distance            : 9       
just                : 9       if                  : 9       harmony             : 9       adding              : 9       
depicts             : 9       co-experience       : 9       level               : 9       harmonious          : 9       
requirements        : 9       sn                  : 9       first               : 9       were                : 9       
potential           : 9       diversity           : 9       many                : 9       called              : 9       
