f0005:

W_Fdic:
the                 : 1154    and                 : 822     of                  : 663     to                  : 448     
data                : 412     -rrb-               : 357     -lrb-               : 352     is                  : 291     
in                  : 226     knowledge           : 198     can                 : 177     big                 : 176     
for                 : 171     system              : 135     be                  : 123     with                : 122     
from                : 120     that                : 114     human               : 113     on                  : 112     
as                  : 112     are                 : 112     space               : 110     representation      : 105     
it                  : 101     computing           : 97      different           : 94      by                  : 89      
not                 : 84      which               : 79      between             : 79      semantic            : 75      
research            : 73      various             : 70      or                  : 69      cognitive           : 68      
through             : 64      an                  : 63      dimensions          : 62      systems             : 62      
concepts            : 61      information         : 60      this                : 58      scientific          : 54      
some                : 52      into                : 50      has                 : 49      such                : 49      
e.g.                : 48      problem             : 48      new                 : 47      network             : 47      
links               : 47      modeling            : 46      complex             : 46      social              : 46      
other               : 46      analysis            : 44      more                : 43      cyber-infrastructure: 42      
machine             : 41      process             : 41      representations     : 41      science             : 40      
rules               : 40      development         : 40      behaviors           : 40      example             : 39      
people              : 38      one                 : 37      observed            : 36      link                : 36      
's                  : 35      models              : 35      following           : 35      interaction         : 35      
problems            : 34      but                 : 34      structure           : 33      model               : 32      
scientists          : 31      processing          : 31      use                 : 31      management          : 31      
have                : 31      may                 : 30      important           : 30      including           : 30      
web                 : 30      paradigm            : 29      classification      : 28      according           : 28      
help                : 28      networks            : 28      many                : 27      dimension           : 27      
been                : 26      what                : 26      community           : 26      also                : 26      
provide             : 25      if                  : 25      world               : 25      at                  : 25      
zhuge               : 25      ability             : 25      like                : 25      consists            : 24      
turing              : 24      each                : 24      relations           : 24      architecture        : 24      
understanding       : 24      will                : 24      thinking            : 23      its                 : 23      
nature              : 22      time                : 22      discover            : 22      mapping             : 22      
reasoning           : 22      understand          : 22      implicit            : 22      great               : 22      
physical            : 22      multi-dimensional   : 22      computer            : 22      machines            : 21      
operations          : 21      way                 : 21      domain              : 21      papers              : 21      
communities         : 21      services            : 21      used                : 21      using               : 21      
often               : 21      basic               : 20      devices             : 20      applications        : 20      
how                 : 20      than                : 20      only                : 20      there               : 20      
computers           : 20      fundamental         : 20      generate            : 20      motivation          : 20      
users               : 20      society             : 20      so                  : 19      these               : 19      
while               : 19      concerns            : 19      semantics           : 18      concept             : 18      
global              : 18      environment         : 18      evolution           : 18      internet            : 18      
any                 : 18      form                : 18      two                 : 18      meaning             : 18      
existing            : 18      methods             : 18      processes           : 18      support             : 18      
make                : 17      we                  : 17      however             : 17      managing            : 17      
generated           : 17      nodes               : 17      interactions        : 17      things              : 17      
figure              : 16      language            : 16      technologies        : 16      resources           : 16      
business            : 16      et                  : 15      infrastructure      : 15      needs               : 15      
find                : 15      when                : 15      they                : 14      target              : 14      
discovery           : 14      spaces              : 14      learning            : 14      enable              : 14      
external            : 14      researchers         : 14      certain             : 14      represent           : 14      
texts               : 14      analyzing           : 14      reflect             : 14      issue               : 14      
exploration         : 14      etc.                : 14      objects             : 14      2012                : 14      
who                 : 14      words               : 14      value               : 14      solution            : 13      
behavior            : 13      current             : 13      should              : 13      establishing        : 13      
reading             : 13      determine           : 13      search              : 13      experience          : 13      
hard                : 13      distributed         : 13      set                 : 13      organization        : 13      
decision            : 13      appropriate         : 13      industrial          : 13      could               : 13      
their               : 13      view                : 13      indicators          : 13      formation           : 12      
another             : 12      do                  : 12      economic            : 12      sharing             : 12      
multiple            : 12      key                 : 12      status              : 12      symbiosis           : 12      
all                 : 12      number              : 12      stage               : 12      traditional         : 12      
scale               : 12      influence           : 12      practice            : 12      need                : 12      
text                : 12      know                : 12      because             : 12      about               : 12      
evolving            : 11      suitable            : 11      better              : 11      principles          : 11      
enables             : 11      enterprise          : 11      section             : 11      automatically       : 11      
structures          : 11      small               : 11      share               : 11      interact            : 11      
interactive         : 11      individual          : 11      source              : 11      intelligence        : 11      
intelligent         : 11      result              : 11      point               : 11      does                : 11      
software            : 11      algorithms          : 10      production          : 10      then                : 10      
mind                : 10      input               : 10      no                  : 10      discovering         : 10      
usually             : 10      economy             : 10      natural             : 10      cognition           : 10      
open                : 10      aspects             : 10      provides            : 10      storage             : 10      
strategies          : 10      operation           : 10      beyond              : 10      al.                 : 10      
impact              : 10      real                : 10      analyze             : 10      categories          : 10      
manage              : 10      communication       : 10      category            : 10      necessary           : 10      
limited             : 9       represented         : 9       study               : 9       analytics           : 9       
requests            : 9       basis               : 9       life                : 9       aim                 : 9       
was                 : 9       role                : 9       requirements        : 9       explicit            : 9       
within              : 9       given               : 9       wide                : 9       generalization      : 9       
where               : 9       developing          : 9       technology          : 9       same                : 9       
ccp                 : 9       power               : 9       citation            : 9       design              : 9       
sensors             : 9       relationship        : 9       part                : 9       during              : 9       
both                : 9       questions           : 9       integration         : 9       able                : 9       
sources             : 9       work                : 8       methodology         : 8       user                : 8       
observation         : 8       flow                : 8       method              : 8       three               : 8       
evolve              : 8       depicts             : 8       diverse             : 8       topic               : 8       
derive              : 8       forms               : 8       significantly       : 8       mechanisms          : 8       
statistics          : 8       potential           : 8       developed           : 8       resource            : 8       
enabling            : 8       engineering         : 8       without             : 8       generates           : 8       
general             : 8       contains            : 8       particular          : 8       hierarchy           : 8       
generation          : 8       linking             : 8       kind                : 8       internal            : 8       
relation            : 8       generating          : 8       gap                 : 8       decentralized       : 8       
transformation      : 8       helps               : 8       reflects            : 8       2011                : 8       
kepler              : 8       based               : 8       class               : 8       ccps                : 7       
1999                : 7       verify              : 7       types               : 7       correctness         : 7       
organize            : 7       integrate           : 7       quickly             : 7       specialization      : 7       
cycle               : 7       candidate           : 7       ''                  : 7       realize             : 7       
fourth              : 7       solve               : 7       further             : 7       solving             : 7       
members             : 7       definition          : 7       aims                : 7       build               : 7       
finding             : 7       most                : 7       simulating          : 7       raise               : 7       
strategy            : 7       become              : 7       searching           : 7       2008                : 7       
access              : 7       challenge           : 7       local               : 7       areas               : 7       
humans              : 7       harder              : 7       capture             : 7       function            : 7       
real-time           : 7       conjecture          : 6       every               : 6       disciplines         : 6       
selected            : 6       law                 : 6       writing             : 6       them                : 6       
represents          : 6       content             : 6       problem-solving     : 6       features            : 6       
roles               : 6       depends             : 6       limitation          : 6       understandable      : 6       
manages             : 6       computation         : 6       revolution          : 6       cost                : 6       
market              : 6       scope               : 6       analogical          : 6       ibm                 : 6       
growing             : 6       designed            : 6       mainly              : 6       group               : 6       
theory              : 6       indicate            : 6       exploring           : 6       mining              : 6       
representing        : 6       performance         : 6       concern             : 6       develop             : 6       
changing            : 6       being               : 6       relevant            : 6       read                : 6       
test                : 6       industry            : 6       instruments         : 6       hardware            : 6       
building            : 6       decisions           : 6       large               : 6       operating           : 6       
establish           : 6       evolves             : 6       sense               : 6       rather              : 6       
propose             : 6       level               : 6       capability          : 6       subsystem           : 6       
idea                : 6       denoted             : 6       play                : 6       creating            : 6       
