f0008:

W_Fdic:
the                 : 778     and                 : 281     of                  : 269     resource            : 244     
to                  : 240     in                  : 240     space               : 240     -rrb-               : 224     
-lrb-               : 219     is                  : 175     resources           : 114     can                 : 114     
be                  : 112     -lsb-               : 95      -rsb-               : 95      that                : 90      
for                 : 71      on                  : 67      probabilistic       : 61      are                 : 57      
classification      : 56      ...                 : 56      probability         : 55      rs                  : 55      
as                  : 53      axis                : 50      point               : 50      membership          : 49      
from                : 48      coordinates         : 47      model               : 47      with                : 47      
belongs             : 47      rsm                 : 46      coordinate          : 46      following           : 45      
by                  : 45      spaces              : 42      it                  : 42      or                  : 42      
into                : 42      semantic            : 41      between             : 39      each                : 37      
at                  : 36      if                  : 35      two                 : 33      prob                : 33      
x1                  : 33      mental              : 33      points              : 33      this                : 32      
p-rsm               : 32      -rcb-               : 32      data                : 31      according           : 31      
-lcb-               : 30      users               : 30      set                 : 28      axes                : 27      
cyber               : 26      relational          : 25      xn                  : 25      2nf                 : 25      
search              : 24      1nf                 : 24      where               : 24      all                 : 23      
such                : 23      operations          : 23      an                  : 23      not                 : 23      
one                 : 22      different           : 22      services            : 21      various             : 21      
classifications     : 21      physical            : 21      manage              : 20      number              : 20      
socio               : 20      will                : 20      link                : 20      xi                  : 19      
any                 : 19      query               : 18      have                : 18      cyber-physical      : 17      
links               : 17      also                : 17      papers              : 17      when                : 17      
society             : 16      normal              : 16      3nf                 : 16      same                : 16      
probabilities       : 15      more                : 15      its                 : 15      fig                 : 15      
other               : 15      rs2                 : 15      paper               : 15      c1                  : 15      
form                : 15      represent           : 14      uncertain           : 14      faceted             : 14      
multi-dimensional   : 14      then                : 14      rs1                 : 14      which               : 14      
we                  : 14      has                 : 14      class               : 14      every               : 13      
supports            : 13      recall              : 13      information         : 13      max                 : 13      
multiple            : 13      only                : 13      managing            : 13      basic               : 13      
precision           : 13      consists            : 12      integrity           : 12      merge               : 12      
section             : 12      example             : 12      applications        : 12      satisfies           : 12      
time                : 12      database            : 12      topics              : 12      enables             : 12      
c2                  : 12      rules               : 12      interval            : 12      p2                  : 11      
distribution        : 11      through             : 11      complex             : 11      operation           : 11      
definition          : 11      classes             : 11      generalization      : 11      p1                  : 11      
models              : 11      specialization      : 11      some                : 11      constraint          : 11      
specify             : 10      select              : 10      lemma               : 10      forms               : 10      
they                : 10      network             : 10      their               : 10      ck                  : 10      
been                : 10      used                : 10      user                : 10      based               : 10      
during              : 9       above               : 9       method              : 9       may                 : 9       
y1                  : 9       yn                  : 9       than                : 9       but                 : 9       
dimension           : 9       pattern             : 9       relevant            : 9       new                 : 9       
these               : 9       attributes          : 9       organizing          : 9       confidence          : 9       
's                  : 9       i.e.                : 8       reflects            : 8       topic               : 8       
e.g.                : 8       returned            : 8       reflect             : 8       concerns            : 8       
independent         : 8       since               : 8       support             : 8       given               : 8       
so                  : 8       threshold           : 8       original            : 8       entity              : 8       
previous            : 8       both                : 8       let                 : 8       table               : 8       
theorem             : 8       certain             : 8       dimensions          : 8       corresponding       : 8       
there               : 8       node                : 8       dependence          : 8       ontology            : 7       
web                 : 7       holds               : 7       types               : 7       classified          : 7       
organize            : 7       another             : 7       quality             : 7       characteristics     : 7       
common              : 7       key                 : 7       uncertainty         : 7       behaviors           : 7       
events              : 7       active              : 7       location            : 7       bound               : 7       
appropriate         : 7       influence           : 7       values              : 7       reasoning           : 6       
upper               : 6       zk                  : 6       experiment          : 6       degree              : 6       
z1                  : 6       36                  : 6       total               : 6       type                : 6       
prs1                : 6       effective           : 6       gender              : 6       several             : 6       
xml                 : 6       event               : 6       mechanisms          : 6       xj                  : 6       
xm                  : 6       management          : 6       relations           : 6       x2                  : 6       
tree                : 6       need                : 6       most                : 6       methods             : 6       
humans              : 6       approach            : 6       equal               : 6       called              : 6       
contents            : 6       levels              : 6       patterns            : 6       candidate           : 6       
represents          : 6       follows             : 6       facets              : 6       does                : 6       
important           : 6       rule                : 6       facility            : 6       ''                  : 6       
using               : 6       subclass            : 5       research            : 5       layers              : 5       
operating           : 5       35                  : 5       use                 : 5       integrating         : 5       
calculated          : 5       abstraction         : 5       constraints         : 5       denoted             : 5       
lead                : 5       first               : 5       system              : 5       schema              : 5       
result              : 5       take                : 5       simultaneously      : 5       fine                : 5       
trees               : 5       querying            : 5       basis               : 5       three               : 5       
experience          : 5       x3                  : 5       effectively         : 5       networks            : 5       
polynomial          : 5       ability             : 5       introduced          : 5       automatically       : 5       
due                 : 5       because             : 5       function            : 5       human               : 5       
defined             : 5       general             : 5       no                  : 5       functions           : 4       
results             : 4       uploading           : 4       item                : 4       linear              : 4       
while               : 4       respectively        : 4       explore             : 4       represented         : 4       
change              : 4       obtained            : 4       makes               : 4       separated           : 4       
lifetime            : 4       room                : 4       concepts            : 4       male                : 4       
process             : 4       attribute           : 4       indicates           : 4       satisfactory        : 4       
after               : 4       belong              : 4       hierarchy           : 4       mainly              : 4       
satisfied           : 4       split               : 4       reflected           : 4       inserted            : 4       
theory              : 4       category            : 4       language            : 4       created             : 4       
service             : 4       store               : 4       1.5                 : 4       mind                : 4       
locations           : 4       needs               : 4       tables              : 4       documents           : 4       
concern             : 4       price               : 4       relation            : 4       queries             : 4       
should              : 4       merged              : 4       kind                : 4       many                : 4       
facet               : 4       merging             : 4       interface           : 4       addition            : 4       
goes                : 4       layer               : 4       satisfying          : 4       nf                  : 4       
difficult           : 4       evolve              : 4       lower               : 4       suitable            : 4       
navigation          : 4       years               : 4       transformed         : 4       inserting           : 4       
like                : 4       individuals         : 4       ct                  : 4       object              : 4       
about               : 4       cyber-physical-socio: 4       naturally           : 4       problem             : 4       
distance            : 4       sub-coordinates     : 4       students            : 4       includes            : 4       
ors2                : 4       structure           : 4       ors1                : 4       existing            : 3       
duplicated          : 3       increase            : 3       apartment           : 3       belonging           : 3       
orthogonal          : 3       categories          : 3       solution            : 3       non-1nf             : 3       
among               : 3       second              : 3       even                : 3       established         : 3       
plays               : 3       fact                : 3       integrated          : 3       l1                  : 3       
38                  : 3       usually             : 3       advantages          : 3       projection          : 3       
texts               : 3       sensors             : 3       hotels              : 3       contains            : 3       
flat                : 3       share               : 3       introduces          : 3       real-time           : 3       
organized           : 3       feasible            : 3       classify            : 3       complexity          : 3       
fundamental         : 3       help                : 3       existence           : 3       main                : 3       
easier              : 3       combination         : 3       courses             : 3       subset              : 3       
retrieve            : 3       covered             : 3       hard                : 3       upload              : 3       
out                 : 3       denotes             : 3       managed             : 3       shows               : 3       
approaches          : 3       interaction         : 3       done                : 3       indicate            : 3       
statement           : 3       continuous          : 3       accurately          : 3       representing        : 3       
13                  : 3       accessed            : 3       null                : 3       tuple               : 3       
