f0010:

W_Fdic:
the                 : 384     and                 : 162     of                  : 153     semantic            : 127     
document            : 106     documents           : 92      links               : 87      to                  : 84      
between             : 72      -lrb-               : 65      can                 : 63      -rrb-               : 63      
rules               : 61      be                  : 57      are                 : 56      cluster             : 51      
is                  : 50      link                : 47      in                  : 44      clusters            : 43      
as                  : 38      keyword             : 37      by                  : 37      keywords            : 35      
reasoning           : 28      sln                 : 27      on                  : 27      -rsb-               : 26      
probability         : 25      sln-d               : 25      similarity          : 24      -lsb-               : 24      
network             : 24      d1                  : 24      for                 : 23      new                 : 22      
inference           : 21      two                 : 20      with                : 19      networks            : 18      
set                 : 18      according           : 18      c1                  : 17      that                : 17      
or                  : 16      an                  : 16      classi?cation       : 15      web                 : 15      
relations           : 15      d2                  : 15      approach            : 15      if                  : 15      
sets                : 15      resources           : 14      relational          : 14      such                : 14      
different           : 14      model               : 13      has                 : 13      metadata            : 12      
change              : 12      from                : 12      following           : 12      each                : 12      
co-occurrence       : 12      attributes          : 12      among               : 12      into                : 12      
existing            : 11      may                 : 11      used                : 11      automatically       : 11      
consists            : 10      applications        : 10      tgt                 : 10      it                  : 10      
src                 : 10      more                : 9       values              : 9       derived             : 9       
shows               : 9       calculated          : 9       same                : 9       clustering          : 9       
vectors             : 9       time                : 9       query               : 8       discovering         : 8       
this                : 8       di                  : 8       any                 : 8       text                : 8       
discovered          : 8       c2                  : 8       equal               : 8       clustered           : 8       
inserted            : 8       probabilistic       : 8       types               : 7       then                : 7       
one                 : 7       their               : 7       using               : 7       based               : 7       
will                : 7       author              : 7       association         : 7       source              : 7       
rule                : 7       nodes               : 6       t1                  : 6       vector              : 6       
discover            : 6       figure              : 6       its                 : 6       was                 : 6       
similar             : 6       out                 : 6       contents            : 6       pages               : 6       
co-occur            : 6       when                : 6       associations        : 6       follows             : 6       
way                 : 6       proposed            : 6       weights             : 6       all                 : 5       
form                : 5       automatic           : 5       changes             : 5       type                : 5       
subcluster          : 5       needs               : 5       them                : 5       evolution           : 5       
not                 : 5       represents          : 5       number              : 5       have                : 5       
pair                : 5       means               : 5       during              : 5       target              : 5       
relevant            : 5       belong              : 5       evolve              : 5       analysis            : 5       
belongs             : 5       page                : 5       some                : 5       other               : 5       
support             : 5       initial             : 5       hierarchical        : 5       exist               : 5       
at                  : 5       whereas             : 5       node                : 5       ?nd                 : 5       
algorithm           : 5       content             : 4       occurrence          : 4       path                : 4       
calculation         : 4       word                : 4       occur               : 4       words               : 4       
statistical         : 4       instanceof          : 4       related             : 4       occurs              : 4       
hence               : 4       adopted             : 4       measured            : 4       inferred            : 4       
entities            : 4       where               : 4       ability             : 4       table               : 4       
characteristics     : 4       sameauthor          : 4       connecting          : 4       expand              : 4       
class               : 4       jaccard             : 4       classi?cations      : 3       represent           : 3       
global              : 3       graph               : 3       supports            : 3       method              : 3       
rdf                 : 3       explained           : 3       predict             : 3       lower-bounded       : 3       
classify            : 3       typical             : 3       space               : 3       interference        : 3       
increase            : 3       denoted             : 3       formula             : 3       upper-bounded       : 3       
approaches          : 3       advantages          : 3       length              : 3       there               : 3       
relationship        : 3       prediction          : 3       built               : 3       mechanism           : 3       
which               : 3       knowledge           : 3       local               : 3       techniques          : 3       
hyperlinks          : 3       discovery           : 3       citation            : 3       hyperlink           : 3       
sub-networks        : 3       general             : 3       levels              : 3       world               : 3       
regarded            : 3       advanced            : 3       necessary           : 3       predicting          : 3       
stage               : 3       because             : 3       references          : 3       partof              : 3       
comparing           : 3       only                : 3       technologies        : 3       recommendation      : 3       
important           : 3       structure           : 3       limited             : 2       sim                 : 2       
calculate           : 2       results             : 2       level               : 2       large               : 2       
imply               : 2       insertion           : 2       machines            : 2       even                : 2       
cues                : 2       body                : 2       evolving            : 2       self-evolutionary   : 2       
scienti?c           : 2       respectively        : 2       let                 : 2       re?ect              : 2       
iteratively         : 2       specialized         : 2       example             : 2       attribute           : 2       
minimum             : 2       information         : 2       worldview           : 2       after               : 2       
independent         : 2       k-nn                : 2       data                : 2       ?rst                : 2       
si                  : 2       paper               : 2       chosen              : 2       li                  : 2       
they                : 2       loosely             : 2       arrow               : 2       found               : 2       
weight              : 2       classifying         : 2       t2                  : 2       adapt               : 2       
realizing           : 2       newly               : 2       queries             : 2       given               : 2       
besides             : 2       language            : 2       could               : 2       carry               : 2       
structured          : 2       institution         : 2       wide                : 2       15                  : 2       
14                  : 2       iteration           : 2       were                : 2       classi?ed           : 2       
paths               : 2       extracted           : 2       potential           : 2       added               : 2       
construction        : 2       -rcb-               : 2       samejournal         : 2       relation            : 2       
assertion           : 2       should              : 2       sequential          : 2       merged              : 2       
kind                : 2       dx                  : 2       resource            : 2       extends             : 2       
exists              : 2       acquired            : 2       wvtool              : 2       c2x                 : 2       
knowing             : 2       many                : 2       whole               : 2       large-scale         : 2       
simple              : 2       considers           : 2       pr                  : 2       basis               : 2       
easy                : 2       bayesian            : 2       these               : 2       coupled             : 2       
ii                  : 2       several             : 2       higher              : 2       user                : 2       
reference           : 2       extensible          : 2       assigned            : 2       useful              : 2       
adding              : 2       ...                 : 2       c1x                 : 2       classes             : 2       
sim_content         : 2       semantically        : 2       process             : 2       step                : 2       
ontology            : 2       slns                : 2       contains            : 2       but                 : 2       
larger              : 2       also                : 2       prede?ned           : 2       embedded            : 2       
maximum             : 2       ui                  : 2       autonomous          : 2       etc.                : 2       
ar                  : 2       in?uence            : 2       -lcb-               : 2       users               : 2       
update              : 2       includes            : 2       generated           : 2       lead                : 2       
calculates          : 2       cosine              : 2       n1                  : 2       n2                  : 2       
n3                  : 2       caused              : 1       focus               : 1       leads               : 1       
layers              : 1       inverse             : 1       depend              : 1       editors             : 1       
include             : 1       sameeditor          : 1       updated             : 1       very                : 1       
difference          : 1       exact               : 1       venue               : 1       attentions          : 1       
equation            : 1       cyber               : 1       implemented         : 1       what                : 1       
domain-speci?c      : 1       max_pr              : 1       experiment          : 1       reconstruction      : 1       
time-consuming      : 1       focuses             : 1       human               : 1       component           : 1       
ranges              : 1       objects             : 1       address             : 1       represented         : 1       
obtained            : 1       search              : 1       de?ne               : 1       subsite             : 1       
study               : 1       studied             : 1       anchor              : 1       domains             : 1       
formation           : 1       implement           : 1       suitable            : 1       via                 : 1       
predicted           : 1       use                 : 1       takes               : 1       would               : 1       
probabilities       : 1       manually            : 1       duplicate           : 1       explicitly          : 1       
therefore           : 1       recommend           : 1       until               : 1       separated           : 1       
sharing             : 1       comparison          : 1       documental          : 1       initiates           : 1       
appendix            : 1       normalized          : 1       iii                 : 1       evolves             : 1       
challenge           : 1       share               : 1       belonging           : 1       topic               : 1       
indicates           : 1       counting            : 1       machine             : 1       maps                : 1       
intelligent         : 1       simplicity          : 1       description         : 1       publishtime         : 1       
representations     : 1       derives             : 1       third               : 1       documentation       : 1       
adoptability        : 1       algorithms          : 1       representation      : 1       retrieval           : 1       
evolutionary        : 1       over                : 1       mainly              : 1       www.w3.org/2004/owl/: 1       
including           : 1       human-created       : 1       derive              : 1       22                  : 1       
cocite              : 1       html                : 1       degrees             : 1       contextual          : 1       
framework           : 1       nor                 : 1       inheriting          : 1       directories         : 1       
establishing        : 1       mode                : 1       assigning           : 1       mean                : 1       
rethinking          : 1       activate            : 1       hard                : 1       connect             : 1       
combining           : 1       event               : 1       integrates          : 1       publish             : 1       
issue               : 1       categorization      : 1       bayes               : 1       estimate            : 1       
pairs               : 1       determining         : 1       times               : 1       ruleml              : 1       
facilitate          : 1       major               : 1       features            : 1       instances           : 1       
done                : 1       open                : 1       size                : 1       little              : 1       
publication         : 1       unknown             : 1       needed              : 1       too                 : 1       
ch                  : 1       tool                : 1       lists               : 1       part                : 1       
authors             : 1       representing        : 1       semantics           : 1       11                  : 1       
13                  : 1       12                  : 1       17                  : 1       16                  : 1       
19                  : 1       18                  : 1       second              : 1       sln-ds              : 1       
recording           : 1       future              : 1       pairwise            : 1       interactive         : 1       
topics              : 1       higher-level        : 1       null                : 1       answering           : 1       
take                : 1       measures            : 1       most                : 1       connected           : 1       
inconsistency       : 1       cause               : 1       considered          : 1       neighboring         : 1       
order               : 1       graphs              : 1       sourceforge.net/projects/wvtool: 1       emerging            : 1       
show                : 1       spaces              : 1       threshold           : 1       find                : 1       
sameaf?liation      : 1       hyperlinked         : 1       title               : 1       subcluster/partof   : 1       
equipped            : 1       dn                  : 1       ranking             : 1       intractable         : 1       
preferred           : 1       joint               : 1       processes           : 1       proposes            : 1       
book                : 1       common              : 1       contain             : 1       through             : 1       
cycles              : 1       constructing        : 1       intelligence        : 1       humans              : 1       
edition             : 1       project             : 1       visualize           : 1       ways                : 1       
c2y                 : 1       segment             : 1       consequence         : 1       libraries           : 1       
determined          : 1       various             : 1       drawn               : 1       neither             : 1       
we                  : 1       nature              : 1       however             : 1       ranked              : 1       
hypothesis          : 1       autonomy            : 1       topology            : 1       both                : 1       
uncertainty         : 1       logic               : 1       exceeds             : 1       comes               : 1       
2nd                 : 1       learning            : 1       consuming           : 1       java                : 1       
publishing          : 1       union               : 1       optional            : 1       create              : 1       
been                : 1       attaching           : 1       describes           : 1       basic               : 1       
indicators          : 1       lr                  : 1       enable              : 1       corresponding       : 1       
self-organized      : 1       sim_vec             : 1       min_pr              : 1       representative      : 1       
irrelevant          : 1       ?nding              : 1       measuring           : 1       uncertain           : 1       
re?ects             : 1       expanded            : 1       www.w3.org/rdf/     : 1       document-based      : 1       
